Data,Hora,TempBulboSeco,UmidadeRelativa
02/03/1999,1200,28.9,74
02/03/1999,1800,30.8,65
03/03/1999,0,27.8,81
03/03/1999,1200,27.6,83
03/03/1999,1800,29,71
04/03/1999,0,26.4,81
04/03/1999,1200,26.4,85
04/03/1999,1800,28.2,70
05/03/1999,0,25.6,82
05/03/1999,1200,26.6,79
05/03/1999,1800,28.6,68
06/03/1999,0,26,76
06/03/1999,1200,27.2,75
06/03/1999,1800,30,88
07/03/1999,0,25.6,86
07/03/1999,1200,25.6,86
07/03/1999,1800,30.7,63
08/03/1999,0,26.2,80
08/03/1999,1200,26.6,81
08/03/1999,1800,31,64
09/03/1999,0,26.7,77
09/03/1999,1200,28,71
09/03/1999,1800,31.2,63
10/03/1999,0,25.6,91
10/03/1999,1200,26.6,84
10/03/1999,1800,29.4,80
11/03/1999,0,25.2,91
11/03/1999,1200,27.4,81
11/03/1999,1800,27.6,60
12/03/1999,0,25.6,60
12/03/1999,1200,23.9,79
12/03/1999,1800,25.2,69
13/03/1999,0,22,87
13/03/1999,1200,24.2,71
13/03/1999,1800,25.6,63
14/03/1999,0,23.6,71
14/03/1999,1200,22.6,77
14/03/1999,1800,25,77
15/03/1999,0,22.8,86
15/03/1999,1200,23,84
15/03/1999,1800,27.6,60
16/03/1999,0,24.4,77
16/03/1999,1200,25.8,77
16/03/1999,1800,29.6,58
17/03/1999,0,24.4,81
17/03/1999,1200,26.6,75
17/03/1999,1800,27.6,66
18/03/1999,0,25,80
18/03/1999,1200,25,83
18/03/1999,1800,28.2,62
19/03/1999,0,24.6,78
19/03/1999,1200,26.6,73
19/03/1999,1800,28.5,72
20/03/1999,0,25.4,86
20/03/1999,1200,27,71
20/03/1999,1800,30,63
21/03/1999,0,26.6,79
21/03/1999,1200,25.2,86
21/03/1999,1800,26.4,81
22/03/1999,0,24.8,89
22/03/1999,1200,23,89
22/03/1999,1800,26.6,81
23/03/1999,0,25,88
23/03/1999,1200,22,98
23/03/1999,1800,27.6,70
24/03/1999,0,24.4,84
24/03/1999,1200,24.2,88
24/03/1999,1800,29.2,68
25/03/1999,0,26,83
25/03/1999,1200,27.7,76
25/03/1999,1800,28.8,73
26/03/1999,0,26.8,81
26/03/1999,1200,23.9,95
26/03/1999,1800,27.8,80
27/03/1999,0,24.2,94
27/03/1999,1200,25.2,86
27/03/1999,1800,26.6,87
28/03/1999,0,25.2,91
28/03/1999,1200,26.8,84
28/03/1999,1800,29.2,82
29/03/1999,0,25.4,88
29/03/1999,1200,25,82
29/03/1999,1800,27,74
30/03/1999,0,23.6,86
